Affoux,mairie_affoux@hotmail.fr
La-Chapelle-sur-Coise,mairie.la-chapelle-sur-coise@cc-hauts-du-lyonnais.fr
Lachassagne,mairie.lachassagne@wanadoo.fr
La-Mulatiere,mairie@lamulatiere.fr
Lamure-sur-Azergues,mairie@lamuresurazergues.com
Lancie,mairiedelancie@wanadoo.fr
Lantignie,secretariat@lantignie.mairies69.net
Larajasse,larajasse@yahoo.fr
L'arbresle,contactmairie@mairie-larbresle.fr
La-Tour-de-Salvagny,mairie.latour@salvagny.org
Le-Bois-D'oingt,mairie-le-bois-d-oingt@wanadoo.fr
Le-Breuil,BREUIL71-FR@libertysurf.fr
Legny, bureau@legny.mairies69.net 
Lentilly,mairie@mairie-lentilly.fr
Le-Perreon,mairie@perreon.mairies69.net
Les-Ardillats,secretariat@lesardillats.mairies69.net
Les-Cheres,mairie.les.cheres@wanadoo.fr
Les-Haies,mairie.leshaies@numericable.com
Les-Halles,lhalles@erasme.org
Les-Olmes,mairie.lesolmes@wanadoo.fr
Les-Sauvages,mairielessauvages@chello.fr
Letra,letra@letra.mairies69.net
Liergues,mairiedeliergues@wanadoo.fr
Limas,contact@limas.mairies69.net
Limonest,contact@mairie-limonest.fr
Lissieu,mairie.de.lissieu@wanadoo.fr
Loire-sur-Rhone,mairie@loire-sur-rhone.fr
Longes,mairie@longes.fr
Longessaigne,longessa@erasme.org
Lozanne,mairie.lozanne@wanadoo.fr
Lucenay,mairie@lucenay.fr
Lyon,webmaster@mairie-lyon.fr
Lyon-Secteur-01,mairie1@mairie-lyon.fr
Lyon-Secteur-02,mairie2@mairie-lyon.fr
Lyon-Secteur-03,mairie3@mairie-lyon.fr
Lyon-Secteur-04,mairie4@mairie-lyon.fr
Lyon-Secteur-05,mairie5@mairie-lyon.fr
Lyon-Secteur-06,mairie6@mairie-lyon.fr
Lyon-Secteur-07,mairie7@mairie-lyon.fr
Lyon-Secteur-08,mairie8@mairie-lyon.fr
Lyon-Secteur-09,mairie9@mairie-lyon.fr
Marchampt,maire.marchampt@laposte.net
Marcilly-D'azergues,m.demarcillydazergues@numericable.com
Marcy,mairie.marcysuranse@wanadoo.fr
Marcy-L'etoile,communication@mairie-marcy-l-etoile.fr
Mardore,""
Marennes,marennes69@wanadoo.fr
Marnand,communemarnand@wanadoo.fr
